Unnamed: 0,Name,Hardiness,Climate Zones,Plant Type,Plant Family,Exposure,Season of Interest,Height,Spread,Water Needs,Soil Type,Soil pH,Soil Drainage,Characteristics,Tolerance,Garden Uses,Garden Styles,Min-Height(feet),Max-Height(feet),Min-Height(cm),Max-Height(cm),Min-Spread(feet),Max-Spread(feet),Min-Spread(cm),Max-Spread(cm)
0,abelia edward goucher,"6
– 9","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, h1, h2",shrubs,abelia,"full sun, partial sun","summer (mid,late)","3'
– 5'
(90cm
– 150cm)","3'
– 5'
(90cm
– 150cm)",average,"chalk, loam, sand",,moist but well-drained,"fragrant, showy, semi-evergreen",deer,,,3,5,90,150,3,5,90,150
1,abelia  grandiflora kaleidoscope glossy abelia,"6
– 9","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, h1, h2",shrubs,abelia,"full sun, partial sun",spring (late),"2'
– 3'
(60cm
– 90cm)","3'
– 4'
(90cm
– 120cm)",average,"chalk, loam, sand",,moist but well-drained,"fragrant, showy, semi-evergreen","deer, drought",,,2,3,60,90,3,4,90,120
2,abelia  grandiflora mardi gras glossy abelia,"6
– 9","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, h1, h2",shrubs,abelia,"full sun, partial sun",spring (late),"2'
– 3'
(60cm
– 90cm)","4'
– 5'
(120cm
– 150cm)",average,"chalk, loam, sand",,moist but well-drained,"fragrant, showy, semi-evergreen","deer, drought",,,2,3,60,90,4,5,120,150
3,abelia  grandiflora radiance glossy abelia,"6
– 9","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, h1, h2",shrubs,abelia,"full sun, partial sun","summer (mid,late)","2'
– 3'
(60cm
– 90cm)","4'
– 5'
(120cm
– 150cm)",average,"chalk, loam, sand",,moist but well-drained,"fragrant, showy, semi-evergreen",deer,,,2,3,60,90,4,5,120,150
4,abelia  grandiflora glossy abelia,"6
– 9","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, h1, h2",shrubs,abelia,"full sun, partial sun",spring (late),"3'
– 6'
(90cm
– 180cm)","3'
– 6'
(90cm
– 180cm)",average,"chalk, loam, sand",,moist but well-drained,"fragrant, showy, semi-evergreen",deer,,,3,6,90,180,3,6,90,180
5,abelia x grandiflora hopleys glossy abelia,"6
– 9","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, h1, h2",shrubs,abelia,"full sun,  partial sun","summer (mid,late)","4'
– 5'
(120cm
– 150cm)","4'
– 5'
(120cm
– 150cm)",average,"chalk, loam, sand",,moist but well-drained,"fragrant, showy, semi-evergreen",deer,,,4,5,120,150,4,5,120,150
8,abies concolor archers dwarf white fir,"4
– 7","2, 2a, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, a2, a3","conifers,  shrubs, trees",abies - firs,"full sun, partial sun","spring (early,mid,late)","3'
– 6'
(90cm
– 180cm)","2'
– 3'
(60cm
– 90cm)",average,"clay, loam, sand",,moist but well-drained,"showy, evergreen","deer, drought",,,3,6,90,180,2,3,60,90
9,abies concolor hosta la vista white fir,"4
– 7","2, 2a, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, a2, a3","conifers,  shrubs",abies - firs,"full sun, partial sun","spring (early,mid,late)","1'
– 2'
(30cm
– 60cm)","1'
– 2'
(30cm
– 60cm)",average,"clay, loam, sand",,moist but well-drained,"showy, evergreen, fruit & berries","deer, drought",,,1,2,30,60,1,2,30,60
10,abies koreana alpin star korean fir,"5
– 7","3, 3b, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","conifers, shrubs",abies - firs,full sun,"spring (early,mid,late)","1'
– 2'
(30cm
– 60cm)","1'
– 2'
(30cm
– 60cm)",average,"clay, loam, sand",,moist but well-drained,"showy, evergreen","deer, drought",,,1,2,30,60,1,2,30,60
11,abies koreana aurea korean fir,"5
– 7","3, 3b, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","conifers, shrubs, trees",abies - firs,"full sun, partial sun","spring (early,mid,late)","20'
– 25'
(6m
– 7.5m)","10'
– 15'
(3m
– 4.5m)",average,"clay, loam, sand",,moist but well-drained,"showy, evergreen, fruit & berries","deer, drought",,,20,25,6m,7.5m,10,15,3m,4.5m
12,abies koreana blauer eskimo korean fir,"5
– 7","3, 3b, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","conifers, shrubs",abies - firs,full sun,"spring (early,mid,late)","1'
– 2'
(30cm
– 60cm)","10""
– 1'
(25cm
– 30cm)",average,"clay, loam, sand",,moist but well-drained,"plant of merit, showy, evergreen","deer, drought",,,1,2,30,60,"10""",1,25,30
13,abies koreana green carpet korean fir,"5
– 7","3, 3b, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","conifers, shrubs",abies - firs,full sun,"spring (early,mid,late)","1'
– 2'
(30cm
– 60cm)","5'
– 6'
(150cm
– 180cm)",average,"clay, loam, sand",,moist but well-drained,"showy, evergreen, fruit & berries","deer, drought",,,1,2,30,60,5,6,150,180
14,abies koreana kohouts ice breaker korean fir,"5
– 7","3, 3b, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20,  21, 22, 23, 24","conifers, shrubs, trees",abies - firs,full sun,"spring (early,mid,late)","1'
– 2'
(30cm
– 60cm)","2'
– 3'
(60cm
– 90cm)",average,"clay, loam, sand",,moist but well-drained,"plant of merit, showy, evergreen","deer, drought",,,1,2,30,60,2,3,60,90
